========== RoomId : 1 Server 초기 상태 BENCHMARK SUMMARY ==========,,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,초기 상태.,
RemoveList,100,12.8773,10.047,30.981,10.087,30.981,3.21718,,async job안에서 sync로 연결된 연쇄 작업.,
Monster,100,83.1358,0.008,320.276,0.009,320.276,94.3914,,worker가 io + gamelogic을 혼합 처리. Session에 packethandler 핸드셰이크 작업을 던질때 fast-path 때문에 딸려 들어감.,
Room,100,926.513,12.573,2276.16,13.898,2276.16,639.097,,sqrt 연산 남발 및 early exit 없음.,
Projectile,100,69.921,0.002,215.954,0.002,215.954,50.4864,,broadcast All,
SkillSystem,100,64.1919,0.006,246.723,0.007,246.723,65.0292,,aoe스킬의 dot피해가 매 틱마다 매 aoe스킬 마다 타격 마다 broadcast 중임. Multiroom으로 돌렸더니 컴 뻗었음,
Field,100,696.302,0.001,1731.55,0.001,1731.55,515.66,,매번 Object 인덱싱에 전체 탐색 -> 거리 체크 (sqrt 남발),
======================================,,,,,,,,,서버는 판정 (GameLogic) 후 알림 (IO Broadcast) 역할을 지연없이 처리해야된다.,
========== RoomId : 1 Server 초기 상태 BENCHMARK SUMMARY ==========,,,,,,,,,GameLogic과 IO 를 분리후 병렬 처리를 해야한다.,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,Broadcast Queue를 Room별 배치하고 Room의 JobQueue로 GameLogic이 직렬로 실행되면서 판정을 알릴때 BroadcastQueue에 작업을 던져서 병렬로 실행되도록 하자.,
RemoveList,100,11.3846,8.159,15.427,8.941,15.427,1.3747,,,
Monster,100,150.884,43.505,301.101,45.012,301.101,85.129,,,
Room,100,2248.13,1511.66,2844.11,1512.99,2844.11,275.029,,,
Projectile,100,106.08,34.967,229.269,45.381,229.269,41.5533,,,
SkillSystem,100,120.384,17.572,246.03,24.223,246.03,65.0382,,,
Field,100,1859.3,1222.16,2548.35,1250.75,2548.35,252.53,,,
======================================,,,,,,,,,,
========== RoomId : 1 ChangeHP Packet Batch BENCHMARK SUMMARY ==========,,,,,,,,,,aoe스킬의 dot피해가 매 틱마다 매 aoe스킬 마다 타격 마다 broadcast 중임. Multiroom으로 돌렸더니 컴 뻗었음
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,> Packet Batch로 field의 범위 안 targets에 대한 판정을 모아서 보내기.
RemoveList,100,12.9197,10.273,26.88,10.37,26.88,2.07203,,,
Monster,100,20.9557,0.007,296.751,0.007,296.751,50.9829,,,
Room,100,107.758,14.198,362.748,16.118,362.748,62.2571,,,
Projectile,100,27.6428,0.002,87.585,0.003,87.585,23.6064,,,
SkillSystem,100,11.2728,0.006,103.025,0.006,103.025,19.4501,,,
Field,100,34.8839,0.001,99.679,0.002,99.679,29.5594,,,
======================================,,,,,,,,,,
========== RoomId : 1 ChangeHP Packet Batch BENCHMARK SUMMARY ==========,,,,,,,,,,
Name,Samples,Avg,Min,Max,p01,p99,StdDev,,,
RemoveList,100,13.8932,10.408,24.165,10.87,24.165,2.85418,,,
Monster,100,19.8535,0.007,283.885,0.008,283.885,54.8756,,,
Room,100,100.919,12.309,403.469,12.688,403.469,65.2319,,,
Projectile,100,24.3018,0.002,91.563,0.003,91.563,23.1036,,,
SkillSystem,100,11.114,0.004,113.527,0.005,113.527,20.2638,,,
Field,100,31.6692,0.002,100.978,0.002,100.978,27.5277,,,
======================================,,,,,,,,,,
========== RoomId : 1 SpatialHash활용. 연산 최적화 sqrt 제거 및 중복연산 제거. field 범위 grid 캐싱 BENCHMARK SUMMARY ==========,,,,,,,,,,
